TCGA-3C-AALI	TCGA-4H-AAAK	TCGA-A1-A0SF	TCGA-A1-A0SH	TCGA-A1-A0SJ	TCGA-A1-A0SQ	TCGA-A2-A04N	TCGA-A2-A04V	TCGA-A2-A0CK	TCGA-A2-A0CP	TCGA-A2-A0CQ	TCGA-A2-A0CR	TCGA-A2-A0CS	TCGA-A2-A0CT	TCGA-A2-A0CU	TCGA-A2-A0CV	TCGA-A2-A0D3	TCGA-A2-A0EO	TCGA-A2-A0EP	TCGA-A2-A0ER	TCGA-A2-A0ES	TCGA-A2-A0EU	TCGA-A2-A0EV	TCGA-A2-A0EW	TCGA-A2-A0EX	TCGA-A2-A0SU	TCGA-A2-A0T4	TCGA-A2-A0T5	TCGA-A2-A0T6	TCGA-A2-A0T7	TCGA-A2-A0YC	TCGA-A2-A0YD	TCGA-A2-A0YF	TCGA-A2-A0YI	TCGA-A2-A0YL	TCGA-A2-A1FV	TCGA-A2-A1FZ	TCGA-A2-A1G0	TCGA-A2-A259	TCGA-A2-A25D	TCGA-A2-A3KD	TCGA-A2-A4S2	TCGA-A7-A0CD	TCGA-A7-A0CG	TCGA-A7-A0CH	TCGA-A7-A0D9	TCGA-A7-A0DB	TCGA-A7-A26E	TCGA-A7-A26H	TCGA-A7-A3RF	TCGA-A7-A425	TCGA-A8-A06P	TCGA-A8-A06U	TCGA-A8-A06Y	TCGA-A8-A07E	TCGA-A8-A07F	TCGA-A8-A07P	TCGA-A8-A07Z	TCGA-A8-A083	TCGA-A8-A086	TCGA-A8-A08A	TCGA-A8-A08O	TCGA-A8-A08T	TCGA-A8-A08Z	TCGA-A8-A091	TCGA-A8-A099	TCGA-A8-A09A	TCGA-A8-A09B	TCGA-A8-A0A4	TCGA-AC-A23C	TCGA-AC-A23E	TCGA-AC-A2B8	TCGA-AC-A2FB	TCGA-AC-A2FF	TCGA-AC-A2FG	TCGA-AC-A3HN	TCGA-AC-A3QP	TCGA-AC-A3YJ	TCGA-AC-A4ZE	TCGA-AC-A5XS	TCGA-AC-A5XU	TCGA-AC-A6IX	TCGA-AC-A6NO	TCGA-AN-A041	TCGA-AN-A049	TCGA-AN-A04A	TCGA-AN-A0AS	TCGA-AN-A0FD	TCGA-AN-A0FK	TCGA-AN-A0FS	TCGA-AN-A0FT	TCGA-AN-A0FW	TCGA-AN-A0FZ	TCGA-AN-A0XN	TCGA-AN-A0XO	TCGA-AN-A0XP	TCGA-AN-A0XS	TCGA-AN-A0XT	TCGA-AN-A0XW	TCGA-AO-A03L	TCGA-AO-A03M	TCGA-AO-A0J5	TCGA-AO-A0J8	TCGA-AO-A0J9	TCGA-AO-A0JC	TCGA-AO-A0JF	TCGA-AO-A0JG	TCGA-AO-A0JI	TCGA-AO-A0JJ	TCGA-AO-A126	TCGA-AO-A12A	TCGA-AO-A12B	TCGA-AO-A12E	TCGA-AO-A12G	TCGA-AO-A12H	TCGA-AQ-A1H2	TCGA-AQ-A1H3	TCGA-AQ-A7U7	TCGA-AR-A0TR	TCGA-AR-A0TW	TCGA-AR-A0TZ	TCGA-AR-A0U3	TCGA-AR-A1AK	TCGA-AR-A1AL	TCGA-AR-A1AP	TCGA-AR-A1AS	TCGA-AR-A1AU	TCGA-AR-A1AX	TCGA-AR-A24L	TCGA-AR-A24M	TCGA-AR-A24O	TCGA-AR-A24P	TCGA-AR-A24T	TCGA-AR-A24V	TCGA-AR-A24W	TCGA-AR-A24X	TCGA-AR-A252	TCGA-AR-A255	TCGA-AR-A2LE	TCGA-AR-A2LM	TCGA-AR-A2LN	TCGA-AR-A2LO	TCGA-AR-A5QM	TCGA-AR-A5QN	TCGA-AR-A5QP	TCGA-B6-A0IG	TCGA-B6-A0IO	TCGA-B6-A0RG	TCGA-B6-A0RM	TCGA-B6-A0RN	TCGA-B6-A0RO	TCGA-B6-A0RP	TCGA-B6-A0RV	TCGA-B6-A0X0	TCGA-B6-A2IU	TCGA-BH-A0AY	TCGA-BH-A0AZ	TCGA-BH-A0B0	TCGA-BH-A0B5	TCGA-BH-A0BA	TCGA-BH-A0BC	TCGA-BH-A0BJ	TCGA-BH-A0BM	TCGA-BH-A0BO	TCGA-BH-A0BP	TCGA-BH-A0BQ	TCGA-BH-A0BR	TCGA-BH-A0BS	TCGA-BH-A0BT	TCGA-BH-A0BV	TCGA-BH-A0C1	TCGA-BH-A0DG	TCGA-BH-A0DH	TCGA-BH-A0DI	TCGA-BH-A0DK	TCGA-BH-A0DP	TCGA-BH-A0DS	TCGA-BH-A0DT	TCGA-BH-A0DV	TCGA-BH-A0E1	TCGA-BH-A0E2	TCGA-BH-A0E7	TCGA-BH-A0E9	TCGA-BH-A0EA	TCGA-BH-A0EB	TCGA-BH-A0EI	TCGA-BH-A0GY	TCGA-BH-A0H5	TCGA-BH-A0H6	TCGA-BH-A0H7	TCGA-BH-A0H9	TCGA-BH-A0HA	TCGA-BH-A0HK	TCGA-BH-A0HP	TCGA-BH-A0HX	TCGA-BH-A0W4	TCGA-BH-A0W5	TCGA-BH-A18F	TCGA-BH-A18H	TCGA-BH-A18J	TCGA-BH-A18M	TCGA-BH-A18N	TCGA-BH-A18S	TCGA-BH-A1EO	TCGA-BH-A1ET	TCGA-BH-A1EU	TCGA-BH-A1EW	TCGA-BH-A1EX	TCGA-BH-A1EY	TCGA-BH-A1FE	TCGA-BH-A1FG	TCGA-BH-A1FH	TCGA-BH-A1FL	TCGA-BH-A1FR	TCGA-BH-A201	TCGA-BH-A28Q	TCGA-BH-A2L8	TCGA-BH-A42V	TCGA-BH-A6R8	TCGA-BH-A8FY	TCGA-BH-A8G0	TCGA-C8-A12N	TCGA-C8-A12O	TCGA-C8-A12X	TCGA-C8-A12Y	TCGA-C8-A132	TCGA-C8-A133	TCGA-C8-A1HE	TCGA-C8-A1HI	TCGA-C8-A1HO	TCGA-C8-A26Z	TCGA-C8-A273	TCGA-C8-A3M7	TCGA-D8-A140	TCGA-D8-A145	TCGA-D8-A1JB	TCGA-D8-A1JH	TCGA-D8-A1JN	TCGA-D8-A1JP	TCGA-D8-A1JS	TCGA-D8-A1JU	TCGA-D8-A1X8	TCGA-D8-A1X9	TCGA-D8-A1XA	TCGA-D8-A1XB	TCGA-D8-A1XC	TCGA-D8-A1XG	TCGA-D8-A1XM	TCGA-D8-A1XO	TCGA-D8-A1XU	TCGA-D8-A1XV	TCGA-D8-A1XY	TCGA-D8-A1Y0	TCGA-D8-A27E	TCGA-D8-A27G	TCGA-D8-A27I	TCGA-D8-A27K	TCGA-D8-A27L	TCGA-D8-A27P	TCGA-D8-A27T	TCGA-D8-A27V	TCGA-D8-A73U	TCGA-D8-A73W	TCGA-D8-A73X	TCGA-E2-A107	TCGA-E2-A10A	TCGA-E2-A10B	TCGA-E2-A14Q	TCGA-E2-A14T	TCGA-E2-A14Z	TCGA-E2-A153	TCGA-E2-A154	TCGA-E2-A156	TCGA-E2-A15C	TCGA-E2-A15D	TCGA-E2-A15E	TCGA-E2-A15F	TCGA-E2-A15G	TCGA-E2-A15H	TCGA-E2-A15I	TCGA-E2-A15J	TCGA-E2-A15L	TCGA-E2-A15M	TCGA-E2-A15O	TCGA-E2-A15P	TCGA-E2-A15R	TCGA-E2-A1B1	TCGA-E2-A1B4	TCGA-E2-A1B5	TCGA-E2-A1BC	TCGA-E2-A1BD	TCGA-E2-A1IG	TCGA-E2-A1IL	TCGA-E2-A1IU	TCGA-E2-A1L6	TCGA-E2-A1L8	TCGA-E9-A1N3	TCGA-E9-A1N4	TCGA-E9-A1N5	TCGA-E9-A1NE	TCGA-E9-A1NG	TCGA-E9-A1NH	TCGA-E9-A1QZ	TCGA-E9-A1R0	TCGA-E9-A1R2	TCGA-E9-A1R3	TCGA-E9-A1R5	TCGA-E9-A1R6	TCGA-E9-A1RA	TCGA-E9-A1RC	TCGA-E9-A1RD	TCGA-E9-A1RF	TCGA-E9-A1RI	TCGA-E9-A227	TCGA-E9-A229	TCGA-E9-A22B	TCGA-E9-A245	TCGA-E9-A247	TCGA-E9-A24A	TCGA-E9-A295	TCGA-E9-A2JT	TCGA-E9-A3X8	TCGA-E9-A5FK	TCGA-E9-A6HE	TCGA-EW-A1IX	TCGA-EW-A1IZ	TCGA-EW-A1J1	TCGA-EW-A1J2	TCGA-EW-A1J3	TCGA-EW-A1J5	TCGA-EW-A1P3	TCGA-EW-A1P5	TCGA-EW-A1PA	TCGA-EW-A1PE	TCGA-EW-A2FS	TCGA-EW-A2FV	TCGA-EW-A423	TCGA-EW-A6S9	TCGA-EW-A6SC	TCGA-GI-A2C8	TCGA-GM-A2D9	TCGA-GM-A2DC	TCGA-GM-A2DI	TCGA-GM-A2DK	TCGA-GM-A2DL	TCGA-GM-A2DM	TCGA-GM-A2DN	TCGA-GM-A4E0	TCGA-GM-A5PV	TCGA-GM-A5PX	TCGA-HN-A2OB	TCGA-JL-A3YX	TCGA-LD-A66U	TCGA-LD-A74U	TCGA-LD-A7W5	TCGA-LD-A7W6	TCGA-LL-A440	TCGA-LL-A50Y	TCGA-LL-A5YL	TCGA-LL-A5YN	TCGA-LL-A6FP	TCGA-LL-A6FQ	TCGA-LL-A740	TCGA-LL-A7SZ	TCGA-LL-A9Q3	TCGA-OL-A5D8	TCGA-OL-A5DA	TCGA-OL-A5RU	TCGA-OL-A5RV	TCGA-OL-A5RX	TCGA-OL-A66J	TCGA-OL-A66K	TCGA-OL-A66N	TCGA-OL-A66O	TCGA-OL-A6VQ	TCGA-PE-A5DC	TCGA-PE-A5DD	TCGA-PE-A5DE	TCGA-PL-A8LX	TCGA-S3-A6ZG	TCGA-S3-A6ZH	TCGA-S3-AA11	TCGA-S3-AA12	TCGA-S3-AA14	TCGA-UL-AAZ6	TCGA-W8-A86G	TCGA-WT-AB41	TCGA-XX-A899	TCGA-Z7-A8R5
BRAF	-1	-1	-1	0	0	1	0	0	-1	-1	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	-1	0	0	0	0	1	0	-1	-1	0	0	1	0	1	0	0	-1	0	-1	1	1	0	1	0	1	0	-1	1	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	1	0	1	0	0	0	0	-1	-1	1	1	1	0	0	1	-1	0	0	1	0	0	0	0	1	1	-1	0	0	-1	0	-1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	-1	0	0	1	1	0	0	0	0	0	0	-1	0	-1	0	1	-1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	-1	1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	-1	0	-1	-1	0	0	0	-1	1	0	1	1	1	1	1	0	0	0	0	0	0	-1	-1	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	-1	0	0	1	1	1	0	-1	0	0	0	1	0	0	1	-1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	-1	0	0	0	0	1	0	-1	1	0	0	0	0	-1	0	0	0	0	1	-1	0	1	0	1	0	-1	0	0	0	0	0	0	0	-1	-1	0	0	-1	1	0	0	0	1	0	1	1	1	-1	-1	0	0	1	-1	-1	0	-1	0	0	0	-1	0	-1	0	0	-1	0	-1	0	0	-1	-1	-1	0	-1	-1	-1	-1	0	-1	0	0	0	-1	-1	-1	-1	0	-1	1	0	1	-1	1	0	1	0	-1	0	-1	0	-1
BRCA2	0	0	0	0	1	0	0	0	-1	-1	0	-1	-1	0	0	-1	0	-1	0	1	0	1	0	0	-1	-1	0	0	0	0	1	0	1	0	0	-1	1	0	0	0	0	0	0	0	0	-1	0	1	1	-1	-1	-1	0	-1	1	1	-1	0	0	0	-1	1	0	1	1	0	-1	0	1	1	0	0	1	1	0	1	-1	-1	0	0	0	0	0	1	1	0	0	0	0	-1	-1	0	1	0	0	1	0	-1	0	1	1	0	0	-1	1	0	0	0	0	-1	0	0	1	-1	-1	-1	1	0	0	0	1	1	0	1	0	0	0	1	-1	1	1	1	0	0	0	1	1	1	0	1	-1	1	-1	1	0	1	0	-1	1	-1	-1	-1	0	-1	0	0	-1	-1	1	1	0	-1	-1	-1	0	-1	0	0	-1	0	1	0	-1	0	0	-1	-1	0	-1	1	1	0	0	-1	0	1	1	0	0	0	0	-1	0	1	0	1	0	1	0	1	1	1	-1	1	0	1	1	1	1	1	-1	0	0	0	1	0	-1	-1	-1	-1	-1	-1	1	0	-1	1	-1	1	-1	1	0	0	0	1	0	-1	0	0	0	-1	-1	1	1	0	1	0	1	1	1	0	1	0	1	-1	1	0	1	1	0	1	-1	0	0	-1	0	1	1	0	1	0	-1	1	0	0	0	1	1	0	1	0	0	1	1	1	0	1	1	-1	0	-1	0	-1	0	1	0	-1	1	1	1	0	0	-1	0	0	-1	-1	0	-1	0	1	0	1	0	0	1	0	-1	1	1	-1	1	-1	-1	-1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	1	-1	-1	-1	1	-1	0	-1	1	-1	-1	-1	-1	1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	0	-1	-1	0	-1	1	1	0	0	1	1	-1	-1	0	-1
CASP3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	-1	-1	1	0	1	0	0	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	1	1	0	0	0	-1	0	1	1	0	0	-1	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	-1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	-1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	-1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	-1	0	0	0	-1	0	-1	0	0	0	-1	-1	0	0	-1	0	0
CASP7	-1	0	-1	0	0	0	1	1	0	0	1	0	-1	0	-1	0	-1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	-1	0	0	1	1	0	0	0	0	0	-1	0	0	0	-1	-1	1	0	-1	0	1	1	0	-1	1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	1	0	-1	0	0	-1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	-1	1	1	0	-1	0	1	0	0	-1	1	-1	0	0	0	1	0	0	1	-1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	-1	0	1	0	0	0	-1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	1	0	1	0	1	0	-1	1	0	0	1	0	1	0	1	-1	0	-1	1	-1	0	0	0	-1	0	1	0	1	1	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	-1	-1	1	0	0	-1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	-1	1	0	1	0	1	0	0	0	0	0	0	0	-1	0	0	-1	-1	1	-1	0	0	0	0	0	0	1	1	-1	1	0	0	0	1	1	1	-1	0	0	0	0	1	0	0	0	0	1	-1	-1	-1	0	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	-1	1	-1	0	-1	0	1	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	-1	-1	0	1	0	-1	-1	-1	0	0	0	0	-1	-1	0	1	-1	0	0	-1	0	0	-1	0	0	-1	0	-1	0	0
CASP9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	-1	-1	0	1	0	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	-1	0	-1	0	0	0	0	0	-1	0	0	0	1	-1	0	0	0	0	0	0	0	-1	0	0	0	1	0	1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	-1	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	-1	-1	0	1	0	0	-1	1	0	0	-1	0	0	0	-1	0	0	-1	0	-1	-1	0	1	0	0	0	0	-1	0	0	-1	0	0	-1	0	1	0	-1	0	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	1	0	0	1	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	1	0	1	1	0	0	0	-1	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
CAV1	0	0	0	1	1	0	0	0	1	1	-1	1	0	-1	0	1	-1	1	1	-1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	1	1	0	1	-1	0	-1	1	-1	-1	1	0	0	-1	1	0	-1	-1	1	-1	-1	-1	-1	0	-1	0	-1	0	-1	-1	0	-1	1	0	1	1	0	1	1	1	0	-1	1	1	0	1	-1	0	0	0	0	0	-1	1	0	0	-1	1	0	-1	0	1	0	-1	0	1	-1	1	0	1	1	0	1	1	1	-1	1	0	-1	-1	1	0	-1	-1	-1	-1	0	1	-1	-1	1	-1	0	0	1	0	1	1	1	-1	1	0	0	0	1	0	1	1	0	-1	-1	-1	-1	0	-1	0	0	-1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	-1	-1	0	1	0	1	1	0	0	1	1	0	1	-1	1	1	0	0	0	0	0	0	-1	1	1	1	0	1	0	1	0	0	0	-1	-1	1	0	1	0	0	0	0	-1	1	0	-1	0	-1	0	1	-1	-1	1	0	0	0	-1	0	-1	-1	0	-1	-1	0	1	-1	1	0	0	-1	0	-1	1	1	0	-1	0	-1	0	0	0	0	-1	0	0	-1	0	1	-1	0	0	1	0	0	0	-1	0	-1	-1	0	0	0	1	-1	-1	0	1	0	-1	-1	-1	0	-1	-1	1	-1	0	-1	1	-1	1	1	0	0	0	-1	0	1	-1	0	0	0	1	0	1	1	-1	0	-1	-1	-1	-1	0	0	0	0	0	1	0	-1	0	1	1	0	1	0	0	-1	-1	1	0	-1	0	-1	0	-1	0	1	-1	-1	0	0	0	-1	0	1	1	-1	0	1	0	1	1	0	-1	1	0	0	1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	0	0	1	1	0	0	-1	1	0	0	0	-1	-1	-1	-1	-1	0	0	0	-1	1	0
CCNB1	0	0	0	-1	1	0	0	1	0	-1	0	0	0	1	1	-1	-1	0	0	1	-1	1	1	-1	-1	0	1	0	-1	1	0	-1	1	-1	0	0	0	-1	-1	0	0	0	0	0	0	-1	1	0	0	0	1	-1	1	0	1	0	1	1	0	1	0	1	-1	0	0	-1	-1	0	1	0	0	-1	-1	0	-1	0	-1	0	0	1	1	0	0	-1	1	0	0	1	1	-1	-1	1	0	-1	1	0	0	0	1	1	1	0	0	1	0	-1	-1	0	0	1	0	1	1	0	0	-1	0	0	0	-1	1	1	0	-1	1	0	0	1	1	0	0	1	-1	1	-1	0	0	1	-1	-1	-1	0	1	-1	0	0	0	1	0	-1	0	-1	1	0	0	0	-1	0	1	0	1	0	-1	-1	-1	-1	1	0	-1	0	1	1	0	0	1	0	0	0	-1	1	1	0	0	-1	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	1	0	-1	0	-1	-1	0	-1	0	1	-1	-1	0	0	0	0	1	-1	0	1	-1	0	-1	0	1	1	-1	0	1	0	0	1	0	0	-1	-1	-1	-1	-1	0	-1	0	0	-1	0	-1	0	0	0	0	0	-1	1	-1	0	0	-1	0	0	0	0	-1	-1	0	1	1	1	0	1	1	-1	0	-1	-1	-1	0	1	-1	1	-1	0	1	1	1	-1	0	0	0	0	-1	1	0	-1	0	-1	0	0	0	1	1	-1	-1	1	0	0	-1	0	1	0	1	0	0	-1	0	0	1	0	1	0	0	0	0	0	1	-1	1	-1	-1	1	0	1	1	0	0	1	1	0	0	1	-1	-1	-1	0	0	1	-1	0	-1	0	-1	-1	1	0	0	0	0	-1	0	1	0	0	1	0	1	0	0	0	-1	-1	-1	-1	-1	-1	1	-1	1	1	0	-1	1	1	1	0	0	1	-1	-1	0	-1
CCND1	1	0	-1	-1	1	1	0	1	1	0	0	-1	0	1	1	-1	-1	1	-1	1	-1	1	0	1	0	1	1	1	-1	-1	1	0	1	-1	0	-1	0	0	0	-1	1	-1	0	-1	0	1	-1	-1	1	0	0	0	1	0	1	-1	1	0	1	1	0	1	0	-1	1	-1	0	-1	0	0	-1	0	0	0	-1	0	-1	-1	1	-1	1	0	0	0	0	0	0	0	1	1	-1	1	0	0	1	1	-1	0	1	0	-1	-1	0	-1	-1	-1	1	1	0	1	0	0	1	-1	0	1	0	-1	0	-1	1	1	1	-1	1	-1	0	-1	1	0	0	1	-1	1	0	0	0	-1	1	-1	-1	0	-1	0	0	0	1	1	1	-1	-1	-1	0	0	-1	-1	0	0	-1	-1	1	0	-1	-1	-1	0	-1	0	-1	1	0	-1	0	-1	-1	0	-1	0	-1	1	1	0	0	-1	0	1	-1	-1	0	1	-1	0	1	-1	1	0	0	-1	0	0	0	1	1	-1	0	0	1	-1	-1	-1	0	-1	0	0	1	0	-1	-1	-1	1	-1	0	1	0	1	0	1	0	-1	1	1	1	-1	1	0	-1	0	-1	-1	-1	-1	0	1	1	0	0	1	0	0	-1	1	-1	1	1	0	-1	0	0	1	0	0	-1	0	0	1	1	-1	0	1	-1	0	1	0	-1	-1	-1	1	0	0	-1	0	-1	-1	1	0	1	0	0	-1	-1	-1	1	0	1	0	-1	1	-1	1	0	0	0	1	1	1	0	0	1	0	-1	0	-1	0	0	0	0	-1	1	1	1	-1	0	-1	0	1	-1	1	0	1	1	1	1	1	0	1	0	1	1	1	-1	0	1	-1	0	1	1	-1	-1	0	-1	-1	0	0	-1	-1	1	0	0	-1	-1	0	1	-1	1	-1	0	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	0	1	1	1	0	0	0	0	-1	1	1	-1
CCNE1	0	0	1	-1	1	0	-1	0	0	-1	-1	0	-1	1	1	-1	-1	-1	1	0	-1	1	0	0	-1	0	1	0	-1	0	-1	-1	-1	-1	0	-1	0	-1	-1	-1	0	-1	0	0	0	1	1	0	0	-1	0	0	1	1	1	1	0	1	-1	0	-1	0	-1	0	-1	-1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	1	0	1	0	0	0	0	-1	0	0	-1	-1	0	0	1	0	-1	-1	-1	1	0	1	1	0	1	1	-1	0	0	-1	1	0	-1	0	-1	0	-1	0	0	-1	1	1	0	-1	-1	1	1	0	1	1	-1	0	1	-1	-1	-1	0	0	0	0	-1	-1	0	0	0	1	1	1	0	-1	-1	0	-1	0	0	-1	0	0	0	1	-1	0	0	-1	-1	0	0	1	0	0	-1	0	0	-1	0	1	0	0	0	-1	1	1	-1	1	-1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	-1	1	0	-1	-1	0	-1	-1	1	0	1	1	-1	0	0	0	1	-1	0	-1	-1	0	-1	-1	1	1	1	0	0	0	0	0	0	1	1	-1	0	0	0	-1	1	-1	-1	0	0	0	0	-1	-1	1	0	0	-1	-1	1	-1	1	0	0	0	-1	0	-1	0	-1	-1	1	1	1	0	1	1	0	0	0	-1	-1	0	1	-1	1	-1	-1	0	1	0	0	1	1	-1	0	-1	-1	0	-1	0	0	-1	0	1	1	1	0	-1	1	-1	0	-1	0	1	1	1	0	1	0	0	1	0	-1	1	0	1	1	1	1	1	-1	1	-1	-1	1	0	1	0	0	0	1	1	1	1	1	-1	-1	0	0	1	0	-1	1	-1	-1	-1	-1	1	-1	0	0	-1	0	-1	1	1	-1	1	1	1	0	-1	0	0	0	-1	0	-1	0	1	-1	1	0	0	0	0	1	1	1	0	1	-1	1	0	0
CCNE2	0	0	-1	-1	0	0	0	0	-1	-1	0	-1	-1	1	1	-1	-1	0	0	1	-1	1	1	0	0	0	1	0	-1	1	0	-1	1	-1	0	1	-1	-1	1	1	0	-1	0	0	0	0	0	1	1	-1	-1	-1	1	0	1	0	1	-1	-1	1	-1	0	0	-1	1	-1	0	0	0	1	0	1	0	0	-1	0	-1	-1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	-1	1	1	1	0	-1	-1	0	0	-1	1	0	0	-1	0	1	1	-1	0	1	-1	-1	1	1	1	0	0	0	0	0	1	1	1	1	0	-1	1	-1	0	1	1	-1	-1	-1	1	0	0	1	1	0	0	1	-1	-1	0	1	-1	0	1	-1	-1	1	1	1	0	-1	-1	0	-1	-1	0	-1	-1	0	0	0	-1	-1	0	1	0	-1	1	0	0	0	-1	0	0	1	-1	1	1	0	-1	-1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	-1	0	1	0	0	-1	-1	-1	0	-1	-1	1	0	0	1	-1	1	1	1	0	1	1	1	-1	-1	-1	1	1	0	-1	0	1	0	0	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	1	-1	0	0	1	0	-1	0	1	1	-1	1	0	0	-1	0	1	-1	1	-1	0	1	1	1	0	1	1	0	0	-1	0	-1	-1	0	0	-1	0	0	1	1	0	-1	0	0	1	-1	1	1	0	1	0	1	0	0	0	1	-1	1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	0	1	0	1	0	0	1	0	1	1	-1	1	-1	-1	1	0	-1	1	-1	-1	-1	-1	1	-1	0	-1	0	-1	-1	0	0	-1	-1	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	-1	1	1	0	1	0	1	-1	-1	-1	-1
